flow,lighthouse
0.496,0.4952588975429535
0.496,0.49454203248023987
0.5,0.4964170753955841
0.5,0.4974119961261749
0.5,0.49837350845336914
0.5,0.4987536668777466
0.507,0.5002715587615967
0.507,0.5011271834373474
0.507,0.5019561648368835
0.507,0.5019282102584839
0.509,0.5033973455429077
0.509,0.5041489601135254
0.509,0.5046269297599792
0.509,0.5053229928016663
0.509,0.5059096813201904
0.513,0.5064762830734253
0.513,0.5069975256919861
0.513,0.507609486579895
0.513,0.5082191824913025
0.51,0.5092448592185974
0.51,0.5098443627357483
0.51,0.5104286670684814
0.51,0.5109668970108032
0.52,0.5124329924583435
0.52,0.5130012035369873
0.52,0.5130718946456909
0.52,0.5132443904876709
0.516,0.5138468146324158
0.516,0.5143208503723145
0.516,0.5148053169250488
0.516,0.5152834057807922
0.516,0.5156014561653137
0.523,0.5172466039657593
0.523,0.5177637934684753
0.523,0.5182613730430603
0.523,0.5184961557388306
0.523,0.5197374224662781
0.523,0.5202513933181763
0.523,0.5199111104011536
0.523,0.5203591585159302
0.526,0.5218679904937744
0.526,0.521726667881012
0.526,0.5220165252685547
0.526,0.522138237953186
0.53,0.5237690210342407
0.53,0.5235780477523804
0.53,0.5239318013191223
0.53,0.5243504047393799
0.532,0.5248045325279236
0.532,0.5255259275436401
0.532,0.5259507894515991
0.532,0.5263707637786865
0.532,0.5267793536186218
0.535,0.5285072326660156
0.535,0.5289682149887085
0.535,0.5294343829154968
0.535,0.5298513770103455
0.536,0.5299474596977234
0.536,0.5302940011024475
0.536,0.5297316312789917
0.536,0.5304214954376221
0.534,0.5310676693916321
0.534,0.5314122438430786
0.534,0.5314122438430786
0.534,0.5320837497711182
0.537,0.5320837497711182
0.537,0.5335864424705505
0.537,0.5339513421058655
0.537,0.5342836976051331
0.537,0.5338546633720398
0.537,0.5348580479621887
0.537,0.5348580479621887
0.537,0.5354190468788147
0.537,0.5352404117584229
0.542,0.53682941198349
0.542,0.53682941198349
0.542,0.5375012755393982
0.542,0.5375012755393982
0.545,0.5398159027099609
0.545,0.5398159027099609
0.545,0.5402719378471375
0.545,0.5407382249832153
0.548,0.5398533940315247
0.548,0.5405949950218201
0.548,0.5405949950218201
0.548,0.5409983396530151
0.548,0.541408360004425
0.545,0.5418437123298645
0.545,0.5420587062835693
0.545,0.5424896478652954
0.545,0.5429049134254456
0.549,0.5441766977310181
0.549,0.544653058052063
0.549,0.5451318025588989
0.549,0.5453188419342041
0.551,0.5461698174476624
0.551,0.5462955832481384
0.551,0.5462632179260254
0.551,0.5466622114181519
0.553,0.5468945503234863
0.553,0.5481203198432922
0.553,0.5483061671257019
0.553,0.5484950542449951
0.552,0.5486680865287781
0.552,0.5496139526367188
0.552,0.5500009059906006
0.552,0.5503827333450317
0.552,0.5509703755378723
0.561,0.5523510575294495
0.561,0.5527049899101257
0.561,0.5527385473251343
0.561,0.5524280667304993
0.556,0.5531922578811646
0.556,0.5531782507896423
0.556,0.5531865954399109
0.556,0.5532696843147278
0.56,0.5535941123962402
0.56,0.5546807050704956
0.56,0.5548630952835083
0.56,0.5547147989273071
0.56,0.5548482537269592
0.563,0.5563644170761108
0.563,0.5558274984359741
0.563,0.555534839630127
0.563,0.5555768609046936
0.562,0.5563739538192749
0.562,0.556171178817749
0.562,0.5558934211730957
0.562,0.5559276342391968
0.564,0.5570730566978455
0.564,0.5570603609085083
0.564,0.5564696788787842
0.564,0.5563836693763733
0.563,0.5571213960647583
0.563,0.5564296245574951
0.563,0.5560984015464783
0.563,0.5559560656547546
0.56,0.5563870072364807
0.56,0.5562463402748108
0.56,0.5560966730117798
0.56,0.5555763244628906
0.56,0.5553900599479675
0.562,0.5563822388648987
0.562,0.5562686920166016
0.562,0.5555449724197388
0.562,0.554975688457489
0.559,0.5552762150764465
0.559,0.5548391938209534
0.559,0.5546619892120361
0.559,0.5543802380561829
0.561,0.5553479194641113
0.561,0.555272102355957
0.561,0.5551789402961731
0.561,0.5549044609069824
0.563,0.5556532740592957
0.563,0.5549486875534058
0.563,0.5549365282058716
0.563,0.5549342036247253
0.563,0.5559318661689758
0.563,0.5560314655303955
0.563,0.556143045425415
0.563,0.5559357404708862
0.563,0.556058943271637
0.561,0.5571568012237549
0.561,0.5573822259902954
0.561,0.5576238036155701
0.561,0.5579067468643188
0.561,0.5590968728065491
0.561,0.5594500303268433
0.561,0.558743417263031
0.561,0.5590094923973083
0.562,0.5596943497657776
0.562,0.5600329041481018
0.562,0.5601000189781189
0.562,0.5603699684143066
0.562,0.5609136819839478
0.562,0.561199426651001
0.562,0.5615260004997253
0.562,0.5618454217910767
0.562,0.5621234178543091
0.564,0.5630417466163635
0.564,0.5633794069290161
0.564,0.5638680458068848
0.564,0.56423419713974
0.566,0.5652333498001099
0.566,0.5656359195709229
0.566,0.5660304427146912
0.566,0.5664430856704712
0.568,0.5633708834648132
0.568,0.5636924505233765
0.568,0.5633488297462463
0.568,0.5636277198791504
0.57,0.5647575855255127
0.57,0.565090000629425
0.57,0.5652939081192017
0.57,0.5656298995018005
0.568,0.5659510493278503
0.568,0.5667008757591248
0.568,0.5670950412750244
0.568,0.5674961805343628
0.568,0.5679134130477905
0.571,0.5691472291946411
0.571,0.5696250200271606
0.571,0.5701524615287781
0.571,0.5705884695053101
0.571,0.5710636973381042
0.571,0.5715789794921875
0.571,0.5721191167831421
0.571,0.5726706981658936
0.572,0.5727887153625488
0.572,0.5733065605163574
0.572,0.5737931132316589
0.572,0.5743250846862793
0.573,0.5748564600944519
0.573,0.5758737325668335
0.573,0.5734531879425049
0.573,0.574684202671051
0.573,0.5741100311279297
0.576,0.57560133934021
0.576,0.5751394033432007
0.576,0.5766369700431824
0.576,0.5762374401092529
0.578,0.577832043170929
0.578,0.5774323344230652
0.578,0.579010546207428
0.578,0.5795873999595642
0.578,0.5803170204162598
0.578,0.5809100866317749
0.578,0.5815117955207825
0.578,0.5814847350120544
0.58,0.5815001726150513
0.58,0.5820267796516418
0.58,0.5839475989341736
0.58,0.5838406085968018
0.58,0.5858199000358582
0.586,0.5865052342414856
0.586,0.5871763229370117
0.586,0.5871331095695496
0.586,0.5892045497894287
0.59,0.5900626182556152
0.59,0.5908101201057434
0.59,0.5906504392623901
0.59,0.5913457870483398
0.595,0.5926390886306763
0.595,0.5946791172027588
0.595,0.5955862402915955
0.595,0.5964545607566833
0.599,0.5973192453384399
0.599,0.5991833209991455
0.599,0.5986654758453369
0.599,0.600591778755188
0.599,0.5999970436096191
0.599,0.6006872057914734
0.599,0.6015098094940186
0.599,0.6037504076957703
0.599,0.6046582460403442
0.606,0.6058023571968079
0.606,0.6052153706550598
0.606,0.6073246002197266
0.606,0.6067161560058594
0.609,0.6089379787445068
0.609,0.6097696423530579
0.609,0.6105843782424927
0.609,0.6099596619606018
0.613,0.6110570430755615
0.613,0.6117714643478394
0.613,0.6124702095985413
0.613,0.6131702661514282
0.617,0.6138612031936646
0.617,0.6154090166091919
0.617,0.6161389946937561
0.617,0.6185914874076843
0.617,0.6194895505905151
0.62,0.6198656558990479
0.62,0.6206721663475037
0.62,0.6210254430770874
0.62,0.6218010187149048
0.622,0.6225550770759583
0.622,0.6233074069023132
0.622,0.6240094304084778
0.622,0.6247546076774597
0.625,0.6254608035087585
0.625,0.6261942386627197
0.625,0.6269269585609436
0.625,0.6276461482048035
0.63,0.6283687949180603
0.63,0.6302978992462158
0.63,0.6289937496185303
0.63,0.6311385631561279
0.63,0.6318733096122742
0.632,0.6333742737770081
0.632,0.6341419219970703
0.632,0.6354366540908813
0.632,0.6362682580947876
0.637,0.637050986289978
0.637,0.6378583908081055
0.637,0.6385505795478821
0.637,0.6368075609207153
0.639,0.6373588442802429
0.639,0.6382003426551819
0.639,0.6387690901756287
0.639,0.6393141150474548
0.639,0.6412578821182251
0.639,0.641234815120697
0.639,0.6418037414550781
0.639,0.642372190952301
