flow,lighthouse
1.091,1.0886797904968262
1.091,1.088715672492981
1.091,1.0887799263000488
1.091,1.088773488998413
1.082,1.0867204666137695
1.082,1.0873918533325195
1.082,1.08738112449646
1.082,1.087767243385315
1.086,1.0873451232910156
1.086,1.0873498916625977
1.086,1.0873576402664185
1.086,1.0873771905899048
1.088,1.087571382522583
1.088,1.087597370147705
1.088,1.0876264572143557
1.088,1.087580919265747
1.087,1.0874176025390625
1.087,1.0883594751358032
1.087,1.08844792842865
1.087,1.0885982513427734
1.081,1.0887157917022705
1.081,1.0868096351623535
1.081,1.0868034362792969
1.081,1.0870319604873655
1.081,1.0870742797851562
1.087,1.0871059894561768
1.087,1.0871506929397583
1.087,1.087177276611328
1.087,1.087233066558838
1.089,1.087797999382019
1.089,1.0878578424453735
1.089,1.0879074335098269
1.089,1.0879749059677124
1.091,1.0890175104141235
1.091,1.0891467332839966
1.091,1.08926522731781
1.091,1.086354374885559
1.087,1.0862369537353516
1.087,1.086249828338623
1.087,1.0860304832458496
1.087,1.086031794548035
1.087,1.085904598236084
1.087,1.0862046480178833
1.087,1.0860965251922607
1.087,1.0862261056900024
1.087,1.0861676931381226
1.092,1.0869624614715576
1.092,1.0867127180099487
1.092,1.0868299007415771
1.092,1.086696982383728
1.087,1.0867366790771484
1.087,1.0866572856903076
1.087,1.0866519212722778
1.087,1.0866419076919556
1.094,1.087990641593933
1.094,1.0880892276763916
1.094,1.0881842374801636
1.094,1.0882824659347534
1.093,1.0883814096450806
1.093,1.0897743701934814
1.093,1.0899604558944702
1.093,1.0901527404785156
1.093,1.0903280973434448
1.089,1.0900167226791382
1.089,1.0901299715042114
1.089,1.0902363061904907
1.089,1.090326905250549
1.094,1.0918481349945068
1.094,1.0919994115829468
1.094,1.092142939567566
1.094,1.092275857925415
1.092,1.0922324657440186
1.092,1.0923255681991575
1.092,1.0923994779586792
1.092,1.09246027469635
1.09,1.0919756889343262
1.09,1.0919891595840454
1.09,1.0919549465179443
1.09,1.091914176940918
1.096,1.0929150581359863
1.096,1.0929256677627563
1.096,1.0929332971572876
1.096,1.0929063558578491
1.096,1.0928696393966677
1.093,1.0928521156311035
1.093,1.0927790403366089
1.093,1.0926902294158936
1.093,1.0925967693328855
1.098,1.0944069623947144
1.098,1.0943983793258667
1.098,1.0943756103515625
1.098,1.0943268537521362
1.087,1.0915155410766602
1.087,1.091280460357666
1.087,1.0910288095474243
1.087,1.0907630920410156
1.097,1.092924952507019
1.097,1.0927640199661257
1.097,1.09259295463562
1.097,1.0924139022827148
1.085,1.0922220945358276
1.085,1.0891963243484497
1.085,1.0888336896896362
1.085,1.0884695053100586
1.085,1.088100790977478
1.086,1.086919188499451
1.086,1.0865063667297363
1.086,1.086098074913025
1.086,1.0856913328170776
1.09,1.0869334936141968
1.09,1.0866214036941528
1.09,1.0832921266555786
1.09,1.0827940702438354
1.082,1.0821332931518557
1.082,1.081624150276184
1.082,1.07917582988739
1.082,1.0786231756210327
1.083,1.078783631324768
1.083,1.078289270401001
1.083,1.0778136253356934
1.083,1.0773563385009766
1.079,1.0769157409667969
1.079,1.0769277811050415
1.079,1.0765562057495115
1.079,1.0762089490890503
1.079,1.0758898258209229
1.079,1.0764389038085938
1.079,1.0762155055999756
1.079,1.076008915901184
1.079,1.0770437717437744
1.081,1.077656865119934
1.081,1.0777138471603394
1.081,1.077739715576172
1.081,1.077778458595276
1.083,1.078581690788269
1.083,1.0785019397735596
1.083,1.0786129236221311
1.083,1.0787346363067627
1.085,1.0800081491470337
1.085,1.0802218914031982
1.085,1.0804287195205688
1.085,1.0802446603775024
1.082,1.080709457397461
1.082,1.0808320045471191
1.082,1.0810014009475708
1.082,1.081431269645691
1.082,1.0816023349761963
1.081,1.0816534757614136
1.081,1.0817960500717163
1.081,1.0819052457809448
1.081,1.0820019245147705
1.084,1.082512140274048
1.084,1.0826044082641602
1.084,1.0826090574264526
1.084,1.0826784372329712
1.081,1.080355525016785
1.081,1.080319881439209
1.081,1.080269694328308
1.081,1.0802035331726074
1.086,1.0812569856643677
1.086,1.0812352895736694
1.086,1.080650806427002
1.086,1.0805643796920776
1.082,1.0804115533828735
1.082,1.080540418624878
1.082,1.0804128646850586
1.082,1.0802851915359497
1.082,1.0798112154006958
1.082,1.0799546241760254
1.082,1.0795559883117676
1.082,1.079386830329895
1.082,1.079134464263916
1.085,1.0797607898712158
1.085,1.079134225845337
1.085,1.07893168926239
1.085,1.0787662267684937
1.086,1.0796740055084229
1.086,1.0787158012390137
1.086,1.078497290611267
1.086,1.077972412109375
1.082,1.0779725313186646
1.082,1.0781583786010742
1.082,1.0781583786010742
1.082,1.0774065256118774
1.083,1.0774065256118774
1.083,1.077778935432434
1.083,1.0777792930603027
1.083,1.0768592357635498
1.083,1.0768592357635498
1.081,1.0766329765319824
1.081,1.0766329765319824
1.081,1.076032280921936
1.081,1.076032280921936
1.08,1.0761799812316897
1.08,1.0761799812316897
1.08,1.0756429433822632
1.08,1.0754450559616089
1.082,1.0764743089675903
1.082,1.076364278793335
1.082,1.0762546062469482
1.082,1.0753337144851685
1.08,1.0762104988098145
1.08,1.0753690004348757
1.08,1.0753690004348757
1.08,1.0745248794555664
1.078,1.0745248794555664
1.078,1.0749878883361816
1.078,1.0740810632705688
1.078,1.0736302137374878
1.078,1.0733963251113892
1.075,1.073463797569275
1.075,1.0732393264770508
1.075,1.0728206634521484
1.075,1.0726834535598757
1.075,1.0728243589401243
1.075,1.0726468563079834
1.075,1.0724376440048218
1.075,1.0722371339797974
1.075,1.0724701881408691
1.075,1.072586178779602
1.075,1.0724139213562012
1.075,1.0720961093902588
1.07,1.0716402530670166
1.07,1.0715560913085938
1.07,1.0710875988006592
1.07,1.071233868598938
1.078,1.0709172487258911
1.078,1.07172691822052
1.078,1.0712710618972778
1.078,1.0710538625717163
1.078,1.070921778678894
1.079,1.0716030597686768
1.079,1.0711346864700315
1.079,1.0710850954055786
1.079,1.0707199573516846
1.072,1.0708248615264893
1.072,1.0705881118774414
1.072,1.0704861879348757
1.072,1.0703424215316772
1.07,1.0701991319656372
1.07,1.0700814723968506
1.07,1.0699620246887207
1.07,1.0698418617248535
1.074,1.070738434791565
1.074,1.0707076787948608
1.074,1.071063756942749
1.074,1.0710710287094116
1.078,1.0709295272827148
1.078,1.071986436843872
1.078,1.072037935256958
1.078,1.0720882415771484
1.078,1.0714830160140991
1.078,1.0724505186080933
1.078,1.0724897384643557
1.078,1.0725162029266355
1.078,1.0714757442474363
1.068,1.0708887577056885
1.068,1.070811748504639
1.068,1.070693016052246
1.068,1.0705654621124268
1.07,1.0703564882278442
1.07,1.0703390836715698
1.07,1.0691568851470947
1.07,1.0691238641738892
1.071,1.0691182613372805
1.071,1.0695006847381592
1.071,1.0691367387771606
1.071,1.0688916444778442
1.075,1.0686062574386597
1.075,1.0690748691558838
1.075,1.0689038038253784
1.075,1.0687335729599
1.075,1.0683462619781494
1.072,1.0687384605407717
1.072,1.068326473236084
1.072,1.0681594610214231
1.072,1.06799578666687
1.073,1.068857192993164
1.073,1.0687841176986694
1.073,1.0681593418121338
1.073,1.067911148071289
1.072,1.068252682685852
1.072,1.068023443222046
1.072,1.0677728652954102
1.072,1.067643642425537
1.072,1.0679638385772705
1.072,1.0671206712722778
1.072,1.0670382976531982
1.072,1.0667216777801514
1.068,1.066808819770813
1.068,1.0666550397872925
1.068,1.0666550397872925
1.068,1.0663169622421265
1.068,1.0661275386810305
1.073,1.067053198814392
1.073,1.0667098760604858
1.073,1.0665686130523682
1.073,1.0663297176361084
1.071,1.0661060810089111
1.071,1.065813660621643
1.071,1.06537663936615
1.071,1.0651954412460327
1.069,1.0653811693191528
1.069,1.065069317817688
1.069,1.064510464668274
1.069,1.0643082857131958
1.066,1.0643961429595947
1.066,1.064188838005066
1.066,1.0636831521987915
1.066,1.063627004623413
1.068,1.0631083250045776
1.068,1.0635813474655151
1.068,1.0630075931549072
1.068,1.0629966259002686
1.068,1.0624924898147583
1.067,1.062946319580078
1.067,1.0623493194580078
1.067,1.062125563621521
1.067,1.0618988275527954
1.066,1.0624947547912598
1.066,1.0618263483047483
1.066,1.0616275072097778
1.066,1.0614324808120728
1.06,1.0610095262527466
1.06,1.060801386833191
1.06,1.06059467792511
1.06,1.0601062774658203
1.066,1.0609701871871948
1.066,1.0608288049697876
1.066,1.0606908798217771
1.066,1.0605525970458984
1.066,1.0604102611541748
1.066,1.061913251876831
1.066,1.0618964433670044
1.066,1.0618799924850464
1.066,1.0618590116500854
1.066,1.061288595199585
1.066,1.0605323314666748
1.066,1.0604133605957031
1.066,1.059976577758789
1.063,1.0602846145629885
1.063,1.0597721338272097
1.063,1.0596206188201904
1.063,1.0593425035476685
1.065,1.0600022077560425
1.065,1.0594943761825562
1.065,1.0593252182006836
1.065,1.0590498447418213
1.064,1.059623956680298
1.064,1.059201955795288
1.064,1.0590527057647705
1.064,1.058749794960022
1.06,1.0585737228393557
1.06,1.058546781539917
1.06,1.0583659410476685
1.06,1.058261752128601
1.06,1.058064341545105
1.06,1.0582599639892578
1.06,1.0580899715423584
1.06,1.0579631328582764
1.06,1.0577678680419922
1.059,1.057827711105347
1.059,1.0577068328857422
1.059,1.0575400590896606
1.059,1.0546413660049438
1.058,1.0549283027648926
1.058,1.0546913146972656
1.058,1.0544520616531372
1.058,1.0542155504226685
1.058,1.0549277067184448
1.058,1.0547599792480469
1.058,1.0545920133590698
1.058,1.0531296730041504
1.06,1.0530985593795776
1.06,1.0531842708587646
1.06,1.0529465675354004
1.06,1.0522109270095823
1.06,1.0522441864013672
1.053,1.052159070968628
1.053,1.052165985107422
1.053,1.0519827604293823
1.053,1.0518898963928225
1.059,1.0527602434158323
1.059,1.052318096160889
1.059,1.0521879196166992
1.059,1.0519012212753296
1.056,1.0523849725723269
1.056,1.0519556999206543
1.056,1.0518544912338257
1.056,1.0517218112945557
1.06,1.0528571605682373
1.06,1.0524671077728271
1.06,1.052407145500183
1.06,1.0521574020385742
1.059,1.052099585533142
1.059,1.0528839826583862
1.059,1.0528831481933594
1.059,1.0526946783065796
1.059,1.0526621341705322
1.054,1.0528147220611572
1.054,1.0527838468551636
1.054,1.0528570413589478
1.054,1.0500706434249878
1.057,1.050662398338318
1.057,1.04977548122406
1.057,1.0498210191726685
1.057,1.0496536493301392
1.056,1.0504963397979736
1.056,1.0495401620864868
1.056,1.049477458000183
1.056,1.049299240112305
1.057,1.0503238439559937
1.057,1.0501997470855713
1.057,1.048943042755127
1.057,1.048749566078186
1.053,1.0481384992599487
1.053,1.0486878156661987
1.053,1.0481384992599487
1.053,1.047946214675903
1.053,1.0474797487258911
1.051,1.0478323698043823
1.051,1.0474034547805786
1.051,1.0472084283828735
1.051,1.0468788146972656
1.059,1.0485498905181885
1.059,1.0479557514190674
1.059,1.0478473901748655
1.059,1.0473703145980835
1.056,1.0485656261444092
1.056,1.047943353652954
1.056,1.0478386878967283
1.056,1.0477300882339478
1.053,1.0486477613449097
1.053,1.048600196838379
1.053,1.0485402345657349
1.053,1.0484660863876345
1.053,1.0483593940734863
1.053,1.0496101379394531
1.053,1.0495842695236206
1.053,1.0495268106460571
1.053,1.0494550466537476
1.05,1.049567461013794
1.05,1.049458622932434
1.05,1.0456781387329102
1.05,1.0453295707702637
1.048,1.04481303691864
1.048,1.0443893671035769
1.048,1.0436702966690063
1.048,1.0431859493255615
1.043,1.0427556037902832
1.043,1.0422372817993164
1.043,1.041875958442688
1.043,1.0413390398025513
1.049,1.042150855064392
1.049,1.0417224168777466
1.049,1.0414091348648071
1.049,1.040985941886902
1.049,1.0420995950698853
1.049,1.04179584980011
1.049,1.041539430618286
1.049,1.0412667989730835
1.049,1.041010856628418
1.05,1.0427923202514648
1.05,1.0426414012908936
1.05,1.0424997806549072
1.05,1.0423967838287354
1.046,1.0432965755462646
1.046,1.0432647466659546
1.046,1.0431993007659912
1.046,1.036237716674805
1.042,1.037014722824097
1.042,1.0356584787368774
1.042,1.0353695154190063
1.042,1.0342581272125244
1.038,1.0345258712768557
1.038,1.0335798263549805
1.038,1.0332218408584597
1.038,1.0324974060058594
1.037,1.0321247577667236
1.037,1.0325340032577517
1.037,1.032215595245361
1.037,1.0314277410507202
1.037,1.0310757160186768
1.042,1.0319823026657104
1.042,1.0317354202270508
1.042,1.0309287309646606
1.042,1.0306189060211182
1.036,1.03082013130188
1.036,1.030604600906372
1.036,1.0299174785614014
1.036,1.0296567678451538
1.032,1.0298558473587036
1.032,1.0296393632888794
1.032,1.0294326543807983
1.032,1.029245376586914
1.035,1.030548095703125
1.035,1.0304702520370483
1.035,1.0304046869277954
1.035,1.024395227432251
1.034,1.0254451036453247
1.034,1.0237244367599487
1.034,1.023337960243225
1.034,1.0227513313293457
1.034,1.022363781929016
1.034,1.023736596107483
1.034,1.0234270095825195
1.034,1.0230602025985718
1.034,1.0227686166763306
1.028,1.0234320163726809
1.028,1.0232187509536743
1.028,1.0230138301849363
1.028,1.0228271484375
1.029,1.0239920616149902
1.029,1.023943305015564
1.029,1.0239202976226809
1.029,1.0238614082336426
1.03,1.0250941514968872
1.03,1.0251755714416504
1.03,1.0252904891967771
1.03,1.0254302024841309
1.029,1.0255589485168457
1.029,1.0265932083129885
1.029,1.026792049407959
1.029,1.0280736684799194
1.029,1.0280736684799194
1.034,1.0298328399658203
1.034,1.0303072929382324
1.034,1.0306416749954224
1.034,1.0310012102127075
1.029,1.0307244062423706
1.029,1.0310211181640625
1.029,1.0313221216201782
1.029,1.031597375869751
1.032,1.0319247245788574
1.032,1.0321708917617798
1.032,1.0324088335037231
1.032,1.0326180458068848
1.035,1.0262688398361206
1.035,1.0264298915863037
1.035,1.0260052680969238
1.035,1.022182583808899
1.035,1.0220636129379272
