1.819,0.026,1.959,2.965,2.006,0.657,
2.353,0.154,-1,1.17,2.007,0.663,

2.454,1.942,2.363,None,0.663,0.026,
2.45,1.957,2.364,None,0.662,0.025,
2.442,1.961,2.364,None,0.665,0.022,
2.453,1.958,2.377,None,0.663,0.023,
2.456,1.946,2.381,None,0.663,0.022,
2.454,1.963,2.371,3.156,0.659,0.023,
2.451,1.963,2.369,3.164,0.661,0.022,
2.437,1.954,2.378,3.191,0.659,0.023,
2.454,1.95,2.375,None,0.658,0.026,


2.454,1.95,2.375,-1,0.658,-1,

2.273,2.112,2.202,3.338,0.625,-1,
2.273,2.112,3.338,2.202,0.625,-1,
