[1726161387.6023018]: 000122.png 	 0.0 [m]
[1726161387.6368132]: 000123.png 	 0.0 [m]
[1726161387.703423]: 000124.png 	 0.0 [m]
[1726161387.7708118]: 000125.png 	 0.0 [m]
[1726161387.8361769]: 000126.png 	 0.0 [m]
[1726161387.90304]: 000127.png 	 0.0 [m]
[1726161387.969515]: 000128.png 	 0.0 [m]
[1726161388.038078]: 000129.png 	 0.0 [m]
[1726161388.103065]: 000130.png 	 0.0 [m]
[1726161388.1705909]: 000131.png 	 0.0 [m]
[1726161388.236526]: 000132.png 	 0.0 [m]
[1726161388.302631]: 000133.png 	 0.0 [m]
[1726161388.370134]: 000134.png 	 0.0 [m]
[1726161388.436685]: 000135.png 	 0.0 [m]
[1726161388.502741]: 000136.png 	 0.0 [m]
[1726161388.569279]: 000137.png 	 0.0 [m]
[1726161388.6361039]: 000138.png 	 0.0 [m]
[1726161388.7023501]: 000139.png 	 0.0 [m]
[1726161388.7694552]: 000140.png 	 0.0 [m]
[1726161388.8355799]: 000141.png 	 0.0 [m]
[1726161388.902376]: 000142.png 	 0.0 [m]
[1726161388.970422]: 000143.png 	 0.0 [m]
[1726161389.03669]: 000144.png 	 0.0 [m]
[1726161389.1022751]: 000145.png 	 0.0 [m]
[1726161389.169236]: 000146.png 	 0.0 [m]
[1726161389.236725]: 000147.png 	 0.0 [m]
[1726161389.302216]: 000148.png 	 0.0 [m]
[1726161389.369913]: 000149.png 	 0.0 [m]
[1726161389.4361331]: 000150.png 	 0.0 [m]
[1726161389.5048919]: 000151.png 	 0.0 [m]
[1726161389.543377]: 000152.png 	 0.0 [m]
[1726161389.6346738]: 000153.png 	 0.0 [m]
[1726161389.702891]: 000154.png 	 0.0 [m]
[1726161389.7705321]: 000155.png 	 0.0 [m]
[1726161389.8367171]: 000156.png 	 0.0 [m]
[1726161389.903191]: 000157.png 	 0.0 [m]
[1726161389.969646]: 000158.png 	 0.0 [m]
[1726161390.0360708]: 000159.png 	 0.0 [m]
[1726161390.1024]: 000160.png 	 0.0 [m]
[1726161390.1703591]: 000161.png 	 0.0 [m]
[1726161390.2359948]: 000162.png 	 0.0 [m]
[1726161390.3024142]: 000163.png 	 0.0 [m]
[1726161390.369247]: 000164.png 	 0.0 [m]
[1726161390.435442]: 000165.png 	 0.0 [m]
[1726161390.502867]: 000166.png 	 0.0 [m]
[1726161390.569084]: 000167.png 	 0.0 [m]
[1726161390.635425]: 000168.png 	 0.0 [m]
[1726161390.7023628]: 000169.png 	 0.0 [m]
[1726161390.7693791]: 000170.png 	 0.0 [m]
[1726161390.836589]: 000171.png 	 0.0 [m]
[1726161390.902369]: 000172.png 	 0.0 [m]
[1726161390.969963]: 000173.png 	 0.0 [m]
[1726161391.035261]: 000174.png 	 0.0 [m]
[1726161391.102595]: 000175.png 	 0.0 [m]
[1726161391.170181]: 000176.png 	 0.0 [m]
[1726161391.235662]: 000177.png 	 0.0 [m]
[1726161391.302498]: 000178.png 	 0.0 [m]
[1726161391.369015]: 000179.png 	 0.0 [m]
[1726161391.435489]: 000180.png 	 0.0 [m]
[1726161391.5022862]: 000181.png 	 0.0 [m]
[1726161391.5433931]: 000182.png 	 0.0 [m]
[1726161391.634642]: 000183.png 	 0.0 [m]
[1726161391.7041411]: 000184.png 	 0.0 [m]
[1726161391.7704031]: 000185.png 	 0.0 [m]
[1726161391.8366332]: 000186.png 	 0.0 [m]
[1726161391.902666]: 000187.png 	 0.0 [m]
[1726161391.96919]: 000188.png 	 0.0 [m]
[1726161392.036157]: 000189.png 	 0.0 [m]
[1726161392.104886]: 000190.png 	 0.0 [m]
[1726161392.169951]: 000191.png 	 0.0 [m]
[1726161392.235643]: 000192.png 	 0.0 [m]
[1726161392.303741]: 000193.png 	 0.0 [m]
[1726161392.369791]: 000194.png 	 0.0 [m]
[1726161392.435935]: 000195.png 	 0.0 [m]
[1726161392.5024471]: 000196.png 	 0.0 [m]
[1726161392.569366]: 000197.png 	 0.0 [m]
[1726161392.63583]: 000198.png 	 0.0 [m]
[1726161392.704612]: 000199.png 	 0.0 [m]
[1726161392.7691572]: 000200.png 	 0.0 [m]
[1726161392.835426]: 000201.png 	 0.0 [m]
[1726161394.5759108]: 000202.png 	 0.0 [m]
